RegionFull,RegionShort,Department,ProgramType,GrantCode,ContractName,ProgramID,IndicatorName,IndicatorTarget,IndicatorFunction,FunctionLocation,IndicatorParameter,ParameterArgument,Format,ReportingCadence
Los Angeles County,LA,Families,Access Center Services,160-9,Access Centers - Family Solution Center,4736,Participant exited to a Successful Housing Destination,0.65,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Housing Navigation Services,160-3,Housing Navigation - Families SPA 4,5445,Completed Housing Stability Plan within 30 days of enrollment,0.8,percent_with_hsp_within_x_days,measure_definitions_2024,days,30,{:.1%},
Los Angeles County,LA,Families,Housing Navigation Services,"160-3,161-7,161-8",Housing Navigation - Families SPA 4,5445,Contracted to Serve,120,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Housing Navigation Services,"160-3,161-7,161-8",Housing Navigation - Families SPA 4,5445,Exited to a Permanent Housing Destination or Attained Referral for RRH and/or HSPP,0.6,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Housing Navigation Services,"161-7,161-8",Housing Navigation - Families SPA 4,5445,Completed Housing Stability plan within 30 days of enrollment,0.8,percent_with_hsp_within_x_days,measure_definitions_2024,days,30,{:.1%},
Los Angeles County,LA,Families,Housing Navigation Services,"161-7,161-8",Housing Navigation - Families SPA 4,5445,Contracted to Serve,30,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Housing Navigation Services,"161-7,161-8",Housing Navigation - Families SPA 4,5445,Exited to a Permanent Housing Destination or Attained Referral for RRH and/or HSPP,0.6,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-11,"LAHSA-FSC, NonDPSS - La Cienega",2405,Average Nightly Bed Utilization Rate - night by night,0.85,utilization_rate,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-11,"LAHSA-FSC, NonDPSS - La Cienega",2405,Contracted to Serve,36,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Interim Housing Services,160-11,"LAHSA-FSC, NonDPSS - La Cienega",2405,Ensure HMIS Data Accuracy,0.95,personal_data_quality,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-11,"LAHSA-FSC, NonDPSS - La Cienega",2405,Exits to Permanent Housing Destination,0.2,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-13,"LAHSA-FSC, NonDPSS - Riverside Crisis Housing",4684,Contracted to Serve,52,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Interim Housing Services,160-13,"LAHSA-FSC, NonDPSS - Riverside Crisis Housing",4684,Ensure HMIS Data Accuracy,0.95,,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-13,"LAHSA-FSC, NonDPSS - Riverside Crisis Housing",4684,Exits to Permanent Housing Destination,0.2,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-13,"LAHSA-FSC, NonDPSS - Riverside Crisis Housing",4684,Occupancy Rate - night by night,0.95,utilization_rate,measure_definitions_2024,,,{:.1%},
Orange County,OC,Orange County,Interim Housing Services,800,"Transitional Housing Services, City of Plancentia",397,residents will increase their income through public benefits and/or employment,0.35,any_income_increase_counts,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-14,Roadmap Interim Housing (Wallis House),4655,Average Nightly Bed Utilization Rate - night by night,0.85,utilization_rate,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-14,Roadmap Interim Housing (Wallis House),4655,Contracted to Serve,42,active_clients,measure_definitions_2024,,,{:.0f},
Los Angeles County,LA,Families,Interim Housing Services,160-14,Roadmap Interim Housing (Wallis House),4655,Ensure HMIS Data Accuracy,0.95,personal_data_quality,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-14,Roadmap Interim Housing (Wallis House),4655,Exits to Permanent Housing Destination,0.2,percent_exits_to_permanent_destination,measure_definitions_2024,,,{:.1%},
Los Angeles County,LA,Families,Interim Housing Services,160-8,Crisis Housing for Families SPA 4,2404,Contracted to Serve,30,active_clients,measure_definitions_2024,,,{:.0f},
